domain,size,distribution,strategy,covariate,antithetic,samples,repeats,mean_l2_error,std_l2_error,ci95_low,ci95_high
sorting,n=5,Logistic,RQMC-latin,none,True,1024,24,0.07317812034547808,0.009034763631360066,0.06936307425283467,0.07699316643812149
sorting,n=5,Logistic,RQMC-latin,f(x),True,1024,24,0.07317812034547808,0.009034763631360063,0.06936307425283467,0.07699316643812149
sorting,n=5,Logistic,RQMC-latin,LOO,True,1024,24,0.07324551801243928,0.009049317505924165,0.0694243263575483,0.07706670966733026
sorting,n=5,Logistic,RQMC-cartesian,none,False,1024,24,0.32463327394105973,0.0367274766943813,0.3091246206798721,0.34014192720224734
sorting,n=5,Logistic,RQMC-cartesian,f(x),False,1024,24,0.3943357823076264,0.06249126876255802,0.3679480337793301,0.4207235308359227
sorting,n=5,Logistic,RQMC-cartesian,LOO,False,1024,24,0.2869151351425875,0.032014260347106145,0.27339669859797694,0.30043357168719803
sorting,n=5,Gumbel,MC,none,False,1024,24,0.14855875535081936,0.016442771853042843,0.14161558173059982,0.1555019289710389
sorting,n=5,Gumbel,MC,f(x),False,1024,24,0.18229935098557015,0.03500175675469802,0.16751940534546886,0.19707929662567145
sorting,n=5,Gumbel,MC,LOO,False,1024,24,0.12823431764639562,0.011972949125687837,0.12317858463077741,0.13329005066201383
sorting,n=5,Gumbel,QMC-latin,none,False,1024,24,0.12613853262706604,0.013275871682343253,0.12053262366754912,0.13174444158658294
sorting,n=5,Gumbel,QMC-latin,f(x),False,1024,24,0.1260687030460327,0.013247376383744867,0.12047482659583338,0.13166257949623206
sorting,n=5,Gumbel,QMC-latin,LOO,False,1024,24,0.12627017497961718,0.01327582907404352,0.12066428401200731,0.13187606594722706
sorting,n=5,Gumbel,RQMC-latin,none,False,1024,24,0.1266625514901687,0.013713139156541898,0.12087200066984082,0.1324531023104966
sorting,n=5,Gumbel,RQMC-latin,f(x),False,1024,24,0.1266157806625348,0.01341044799333616,0.1209530451107168,0.13227851621435277
sorting,n=5,Gumbel,RQMC-latin,LOO,False,1024,24,0.1267353400948095,0.01371026555852877,0.12094600268850317,0.13252467750111582
sorting,n=5,Gumbel,RQMC-cartesian,none,False,1024,24,0.8796618750735492,0.35435445913349495,0.730031109965807,1.0292926401812914
sorting,n=5,Gumbel,RQMC-cartesian,f(x),False,1024,24,1.1411263736068182,0.4733123389784206,0.9412641012666936,1.340988645946943
sorting,n=5,Gumbel,RQMC-cartesian,LOO,False,1024,24,0.5687539267827326,0.20871925841264966,0.48061951355882615,0.6568883400066391
sorting,n=5,Cauchy,MC,none,False,1024,24,0.10792437422708517,0.009863118376487566,0.1037595446024463,0.11208920385172405
sorting,n=5,Cauchy,MC,f(x),False,1024,24,0.12743408260461112,0.020290336687818364,0.11886622484344156,0.13600194036578067
sorting,n=5,Cauchy,MC,LOO,False,1024,24,0.09657456297159857,0.009273803994960306,0.09265857898590704,0.1004905469572901
sorting,n=5,Cauchy,MC,none,True,1024,24,0.09923969695361073,0.007356662719550279,0.09613325073008172,0.10234614317713975
sorting,n=5,Cauchy,MC,f(x),True,1024,24,0.09923969695361072,0.0073566627195502795,0.0961332507300817,0.10234614317713973
sorting,n=5,Cauchy,MC,LOO,True,1024,24,0.09934246530501716,0.007345934666600306,0.0962405491409516,0.1024443814690827
sorting,n=5,Cauchy,QMC-latin,none,False,1024,24,0.08881148712144805,0.007560363952671364,0.08561902541094074,0.09200394883195537
sorting,n=5,Cauchy,QMC-latin,f(x),False,1024,24,0.08881148712144808,0.007560363952671366,0.08561902541094077,0.0920039488319554
sorting,n=5,Cauchy,QMC-latin,LOO,False,1024,24,0.08889825718570765,0.007572259703563034,0.08570077234014002,0.09209574203127528
sorting,n=5,Cauchy,QMC-latin,none,True,1024,24,0.0989779164334705,0.008127646228109263,0.09554591242649146,0.10240992044044953
sorting,n=5,Cauchy,QMC-latin,f(x),True,1024,24,0.0989779164334705,0.008127646228109261,0.09554591242649146,0.10240992044044953
sorting,n=5,Cauchy,QMC-latin,LOO,True,1024,24,0.09907853760256556,0.008135927864622633,0.09564303656718488,0.10251403863794624
sorting,n=5,Cauchy,RQMC-latin,none,False,1024,24,0.0942215953859583,0.008469242200479952,0.0906453480503401,0.0977978427215765
sorting,n=5,Cauchy,RQMC-latin,f(x),False,1024,24,0.09421686064445306,0.008460353678219146,0.09064436660261253,0.09778935468629359
sorting,n=5,Cauchy,RQMC-latin,LOO,False,1024,24,0.09431027644352936,0.008492260583479669,0.09072430929722156,0.09789624358983717
sorting,n=5,Cauchy,RQMC-latin,none,True,1024,24,0.09642526685529938,0.009054988844849066,0.09260168040400991,0.10024885330658885
sorting,n=5,Cauchy,RQMC-latin,f(x),True,1024,24,0.09642526685529938,0.00905498884484906,0.09260168040400993,0.10024885330658884
sorting,n=5,Cauchy,RQMC-latin,LOO,True,1024,24,0.09652641432879161,0.00904069225336277,0.09270886479863405,0.10034396385894917
sorting,n=5,Cauchy,RQMC-cartesian,none,False,1024,24,0.4103751734752084,0.10076275287879571,0.36782679453146677,0.45292355241895005
sorting,n=5,Cauchy,RQMC-cartesian,f(x),False,1024,24,0.6220187437388917,0.19987664374606368,0.5376182392157524,0.706419248262031
