domain,size,distribution,strategy,covariate,antithetic,samples,repeats,mean_l2_error,std_l2_error,ci95_low,ci95_high
sorting,n=3,Triangular,QMC-latin,f(x),False,1000,64,0.1517548762308745,0.03670680567168392,0.14258578898585497,0.16092396347589402
sorting,n=3,Triangular,QMC-latin,LOO,False,1000,64,0.15148197092660992,0.03668198425979687,0.14231908388580244,0.1606448579674174
sorting,n=3,Triangular,QMC-latin,none,True,1000,64,0.16295085726257563,0.04562670380087142,0.15155364575921731,0.17434806876593395
sorting,n=3,Triangular,QMC-latin,f(x),True,1000,64,0.16295085726257563,0.045626703800871436,0.15155364575921731,0.17434806876593395
sorting,n=3,Triangular,QMC-latin,LOO,True,1000,64,0.162587320092699,0.04558728000638471,0.15119995636019853,0.17397468382519946
sorting,n=3,Triangular,RQMC-latin,none,False,1000,64,0.21159173143749102,0.10417703598350625,0.1855690821118057,0.23761438076317634
sorting,n=3,Triangular,RQMC-latin,f(x),False,1000,64,0.20578442635951966,0.11281350839066526,0.17760445041438588,0.23396440230465343
sorting,n=3,Triangular,RQMC-latin,LOO,False,1000,64,0.1940315264185772,0.08646170909568872,0.17243403408588356,0.21562901875127086
sorting,n=3,Triangular,RQMC-latin,none,True,1000,64,0.2235686308321116,0.12217838193079573,0.193049379078125,0.25408788258609816
sorting,n=3,Triangular,RQMC-latin,f(x),True,1000,64,0.22356863083210415,0.12217838193074775,0.19304937907812955,0.25408788258607873
sorting,n=3,Triangular,RQMC-latin,LOO,True,1000,64,0.2236653660619981,0.12254777757843739,0.1930538420206474,0.2542768901033488
sorting,n=3,Triangular,RQMC-cartesian,none,False,1000,64,0.26039468008636996,0.15679782617225924,0.2212277484589768,0.2995616117137631
sorting,n=3,Triangular,RQMC-cartesian,f(x),False,1000,64,0.2705294026821127,0.1851873373201575,0.2242709821660708,0.3167878231981546
sorting,n=3,Triangular,RQMC-cartesian,LOO,False,1000,64,0.22288114976962276,0.14107260394340168,0.1876422617822389,0.25812003775700665
sorting,n=3,Triangular,RQMC-cartesian,none,True,1000,64,0.22764600468204593,0.17488878825927004,0.18396008518069284,0.271331924183399
sorting,n=3,Triangular,RQMC-cartesian,f(x),True,1000,64,0.22764600468205243,0.17488878825927875,0.18396008518069717,0.2713319241834077
sorting,n=3,Triangular,RQMC-cartesian,LOO,True,1000,64,0.22768712902768234,0.17548096684456746,0.1838532877169027,0.271520970338462
sorting,n=5,Gaussian,MC,none,False,1024,64,0.15389694132881457,0.019081296544084643,0.14913057526782642,0.15866330738980272
sorting,n=5,Gaussian,MC,f(x),False,1024,64,0.18635870864947301,0.0327720463379889,0.17817249504215157,0.19454492225679446
sorting,n=5,Gaussian,MC,LOO,False,1024,64,0.133450097381595,0.011992663221731885,0.13045441924049697,0.13644577552269302
sorting,n=5,Gaussian,MC,none,True,1024,64,0.1411857679672738,0.01640082884043164,0.13708896281692656,0.14528257311762105
sorting,n=5,Gaussian,MC,f(x),True,1024,64,0.1411857679672738,0.01640082884043164,0.13708896281692656,0.14528257311762105
sorting,n=5,Gaussian,MC,LOO,True,1024,64,0.14134216901610697,0.016435516289790314,0.13723669919871345,0.14544763883350048
sorting,n=5,Gaussian,QMC-latin,none,False,1024,64,0.12446782302742264,0.013654434936047115,0.12105704666268333,0.12787859939216195
sorting,n=5,Gaussian,QMC-latin,f(x),False,1024,64,0.12446782302742265,0.013654434936047113,0.12105704666268334,0.12787859939216198
sorting,n=5,Gaussian,QMC-latin,LOO,False,1024,64,0.12459718093558161,0.013672605803388577,0.12118186562322965,0.1280124962479336
sorting,n=5,Gaussian,QMC-latin,none,True,1024,64,0.1299850448971828,0.014901175797035444,0.1262628419313772,0.13370724786298838
sorting,n=5,Gaussian,QMC-latin,f(x),True,1024,64,0.12998504489718282,0.014901175797035442,0.12626284193137724,0.1337072478629884
sorting,n=5,Gaussian,QMC-latin,LOO,True,1024,64,0.13010408067871443,0.014909584106440785,0.12637977737971148,0.13382838397771737
sorting,n=5,Gaussian,RQMC-latin,none,False,1024,64,0.12073799149401357,0.01363025936767907,0.1173332540065753,0.12414272898145184
sorting,n=5,Gaussian,RQMC-latin,f(x),False,1024,64,0.12073894780177499,0.013681720744014206,0.11732135564499867,0.12415653995855132
sorting,n=5,Gaussian,RQMC-latin,LOO,False,1024,64,0.1208487650217396,0.013642325890956913,0.11744101340646715,0.12425651663701204
sorting,n=5,Gaussian,RQMC-latin,none,True,1024,64,0.12705986638569255,0.01669208213318623,0.12289030832746353,0.13122942444392158
sorting,n=5,Gaussian,RQMC-latin,f(x),True,1024,64,0.12705986638569255,0.01669208213318621,0.12289030832746355,0.13122942444392158
sorting,n=5,Gaussian,RQMC-latin,LOO,True,1024,64,0.1271885439738137,0.01670683525282938,0.12301530069594575,0.13136178725168168
sorting,n=5,Gaussian,RQMC-cartesian,none,False,1024,64,0.10485878451008862,0.009461785254654487,0.1024953008752135,0.10722226814496374
sorting,n=5,Gaussian,RQMC-cartesian,f(x),False,1024,64,0.1131417403341615,0.012413085594359248,0.11004104380903797,0.11624243685928502
sorting,n=5,Gaussian,RQMC-cartesian,LOO,False,1024,64,0.10150918841623602,0.009069412478745006,0.09924371658459606,0.10377466024787597
sorting,n=5,Logistic,MC,none,False,1024,64,0.0886445826470672,0.009260183246930766,0.08633145769537806,0.09095770759875635
sorting,n=5,Logistic,MC,f(x),False,1024,64,0.10655161196234662,0.019394874914769555,0.10170691635493381,0.11139630756975943
sorting,n=5,Logistic,MC,LOO,False,1024,64,0.07908132893619439,0.0072672597718853775,0.07726602145679581,0.08089663641559297
sorting,n=5,Logistic,MC,none,True,1024,64,0.08040478584349486,0.008735774275316103,0.07822265435541062,0.08258691733157911
sorting,n=5,Logistic,MC,f(x),True,1024,64,0.08040478584349488,0.008735774275316101,0.07822265435541063,0.08258691733157912
sorting,n=5,Logistic,MC,LOO,True,1024,64,0.08049398987506523,0.00873758306081621,0.07831140656580629,0.08267657318432417
sorting,n=5,Logistic,QMC-latin,none,False,1024,64,0.07348760341144331,0.007682538322486156,0.07156856243653163,0.07540664438635498
sorting,n=5,Logistic,QMC-latin,f(x),False,1024,64,0.07348760341144331,0.007682538322486156,0.07156856243653163,0.07540664438635498
